year,section,row_no,account,account_key,entity,scope,value_yuan,value_wan
2020,资产负债表,19,其他应收款,其他应收款,凯莱酒店,公司,5974734.49,597.4734490000001
2020,资产负债表,19,其他应收款,其他应收款,综合楼项目部,公司,4745539.54,474.553954
2020,资产负债表,19,其他应收款,其他应收款,现代环投,公司,33876764.58,3387.676458
2020,资产负债表,19,其他应收款,其他应收款,大有期货,公司,88622494.2,8862.24942
2020,资产负债表,19,其他应收款,其他应收款,现代财富,公司,7217537.7,721.75377
2020,资产负债表,19,其他应收款,其他应收款,现代资产,公司,8038772.04,803.877204
2020,资产负债表,19,其他应收款,其他应收款,怀芷公司,公司,194986.85,19.498685000000002
2020,资产负债表,19,其他应收款,其他应收款,溆怀公司,公司,1338786701.9,133878.67019
2020,资产负债表,19,其他应收款,其他应收款,现代房产,公司,10095925.0,1009.5925
2020,资产负债表,19,其他应收款,其他应收款,安迅小贷,公司,4185909.03,418.59090299999997
2020,资产负债表,19,其他应收款,其他应收款,现代担保,公司,68856390.01,6885.6390010000005
2020,资产负债表,19,其他应收款,其他应收款,巴陵农商行,公司,6850755.8,685.07558
2020,资产负债表,19,其他应收款,其他应收款,长韶娄公司,公司,20080966.14,2008.096614
2020,资产负债表,19,其他应收款,其他应收款,集团审定口径,集团,307970366.42,30797.036642000003
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,母公司,公司,13012876.63,1301.287663
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,本部,公司,7251448.11,725.144811
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,凯莱酒店,公司,156787.47,15.678747
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,现代环投,公司,26414116.82,2641.411682
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,大有期货,公司,208948.99,20.894899
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,现代财富,公司,1266548.79,126.65487900000001
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,现代资产,公司,4680301.89,468.03018899999995
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,怀芷公司,公司,2361.0,0.2361
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,溆怀公司,公司,0.0,0.0
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,现代房产,公司,10095925.0,1009.5925
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,安迅小贷,公司,1612920.36,161.29203600000002
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,现代担保,公司,37082979.56,3708.2979560000003
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,巴陵农商行,公司,4765157.76,476.51577599999996
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,长韶娄公司,公司,200.83,0.020083
2020,资产负债表,20,减：其他应收款--坏账准备,减：其他应收款--坏账准备,集团审定口径,集团,105914457.36,10591.445736
2020,资产负债表,21,其他应收款净额,其他应收款净额,母公司,公司,6009150376.34,600915.0376340001
2020,资产负债表,21,其他应收款净额,其他应收款净额,本部,公司,6072838164.12,607283.816412
2020,资产负债表,21,其他应收款净额,其他应收款净额,潭耒分公司,公司,19827121.46,1982.712146
2020,资产负债表,21,其他应收款净额,其他应收款净额,长沙分公司,公司,33208195.5,3320.81955
2020,资产负债表,21,其他应收款净额,其他应收款净额,怀化分公司,公司,5420657.11,542.0657110000001
